,channel,position,unit
477,0,42406,[46]
478,0,42434,[45]
479,0,42451,[44]
480,0,42467,[47]
481,0,42567,[17]
482,0,42659,[22]
483,0,42726,[31]
484,0,42760,[8]
485,0,42824,[17]
486,0,42840,[43]
487,0,42976,[33]
488,0,43096,[43]
489,0,43159,[8]
490,0,43177,[18]
491,0,43194,[32]
492,0,43268,[48]
493,0,43283,[47]
494,0,43293,[22]
495,0,43438,[39]
496,0,43485,[29]
497,0,43596,[38]
498,0,43654,[5]
499,0,43694,[8]
500,0,43708,[13]
501,0,43753,[24]
502,0,43781,[39]
503,0,43866,[30]
504,0,43909,[22]
505,0,43926,[22]
506,0,43970,[42]
507,0,44005,[24]
508,0,44056,[21]
509,0,44135,[19]
510,0,44165,[22]
511,0,44229,[39]
512,0,44260,[37]
513,0,44304,[6]
514,0,44389,[44]
515,0,44440,[9]
516,0,44516,[2]
517,0,44636,[33]
518,0,44674,[43]
519,0,44696,[20]
520,0,44783,[38]
521,0,44795,[47]
522,0,44818,[12]
523,0,44855,[1]
524,0,44923,[6]
525,0,44993,[12]
526,0,45061,[8]
527,0,45080,[20]
528,0,45103,[12]
529,0,45193,[33]
530,0,45226,[43]
531,0,45278,[5]
532,0,45326,[38]
533,0,45344,[13]
534,0,45470,[0]
535,0,45488,[6]
536,0,45517,[46]
537,0,45545,[37]
538,0,45601,[42]
539,0,45647,[48]
540,0,45660,[6]
541,0,45691,[37]
542,0,45779,[30]
543,0,45815,[28]
544,0,45831,[1]
545,0,45878,[20]
546,0,45905,[42]
547,0,45960,[35]
548,0,45988,[34]
549,0,46086,[37]
550,0,46190,[9]
551,0,46242,[0]
552,0,46291,[21]
553,0,46344,[37]
554,0,46391,[32]
555,0,46477,[1]
556,0,46535,[42]
557,0,46549,[13]
558,0,46571,[22]
559,0,46616,[2]
560,0,46702,[30]
561,0,46764,[9]
562,0,46824,[12]
563,0,46867,[4]
564,0,46879,[13]
565,0,47011,[6]
566,0,47037,[17]
567,0,47048,[13]
568,0,47098,[20]
569,0,47111,[18]
570,0,47221,[47]
571,0,47235,[30]
572,0,47375,[21]
573,0,47390,[20]
574,0,47561,[44]
575,0,47604,[2]
576,0,47621,[6]
577,0,47666,[24]
578,0,47705,[28]
579,0,47718,[47]
580,0,47733,[22]
581,0,47843,[5]
582,0,47874,[39]
583,0,47898,[42]
584,0,48045,[1]
585,0,48057,[22]
586,0,48148,[20]
587,0,48207,[23]
588,0,48237,[22]
589,0,48340,[17]
590,0,48350,[43]
591,0,48421,[40]
592,0,48486,[43]
593,0,48578,[12]
594,0,48647,[20]
595,0,48669,[11]
596,0,48697,[42]
597,0,48741,[1]
598,0,48753,[21]
599,0,48792,[7]
600,0,48887,[29]
601,0,48913,[21]
602,0,48944,[46]
603,0,48975,[0]
604,0,49049,[44]
605,0,49061,[18]
606,0,49126,[20]
607,0,49153,[37]
608,0,49189,[24]
609,0,49236,[18]
610,0,49313,[8]
611,0,49327,[43]
612,0,49424,[10]
613,0,49477,[17]
614,0,49497,[18]
615,0,49541,[6]
616,0,49639,[32]
617,0,49659,[18]
618,0,49756,[39]
619,0,49793,[43]
620,0,49896,[9]
621,0,49936,[44]
622,0,50018,[37]
623,0,50079,[45]
624,0,50097,[18]
625,0,50243,[18]
626,0,50293,[6]
627,0,50322,[37]
628,0,50385,[8]
629,0,50464,[12]
630,0,50511,[16]
631,0,50688,[1]
632,0,50704,[22]
633,0,50790,[42]
634,0,50825,[46]
635,0,50867,[43]
636,0,50990,[37]
637,0,51024,[24]
638,0,51089,[8]
639,0,51169,[2]
640,0,51201,[21]
641,0,51303,[18]
642,0,51325,[33]
643,0,51360,[37]
644,0,51454,[32]
645,0,51475,[20]
646,0,51502,[43]
647,0,51562,[20]
648,0,51585,[6]
649,0,51654,[39]
650,0,51710,[30]
651,0,51771,[9]
652,0,51844,[4]
653,0,51928,[6]
654,0,51984,[48]
655,0,52152,[14]
656,0,52169,[11]
657,0,52193,[15]
658,0,52247,[29]
659,0,52271,[46]
660,0,52301,[39]
661,0,52320,[1]
